Position,Rank,Player,Team,Value
WR,73,Calvin Austin III,PIT,0
WR,74,Quentin Johnston,LAC,0
WR,75,Darius Slayton,NYG,0
WR,76,Ray-Ray McCloud III,ATL,0
WR,77,Jack Bech,LV,0
WR,78,Dyami Brown,JAC,0
WR,79,Josh Reynolds,NYJ,0
WR,80,Tutu Atwell,LAR,0
WR,81,N. Westbrook-ikhine,MIA,0
WR,82,DeAndre Hopkins,BAL,0
WR,83,Kyle Williams,NE,0
WR,84,Jalen Tolbert,DAL,0
WR,85,Andrei Iosivas,CIN,0
WR,86,Jalen Nailor,MIN,0
WR,87,Tre Tucker,LV,0
WR,88,Brandin Cooks,NO,0
WR,89,Jordan Whittington,LAR,0
WR,90,Diontae Johnson,CLE,0
WR,91,M. Valdes-scantling,SEA,0
WR,92,Troy Franklin,DEN,0
WR,93,Tory Horton,SEA,0
WR,94,Jalen Coker,CAR,0
WR,95,Dontayvion Wicks,GB,0
WR,96,Kayshon Boutte,NE,0
WR,97,Noah Brown,WAS,0
WR,98,Christian Watson,GB,0
WR,99,Adonai Mitchell,IND,0
WR,100,Pat Bryant,DEN,0
TE,1,Brock Bowers,LV,30
TE,2,George Kittle,SF,29
TE,3,Trey McBride,ARI,26
TE,4,Sam LaPorta,DET,16
TE,5,Mark Andrews,BAL,16
TE,6,Travis Kelce,KC,12
TE,7,T.J. Hockenson,MIN,11
TE,8,David Njoku,CLE,10
TE,9,Tyler Warren,IND,7
TE,10,Tucker Kraft,GB,6
TE,11,Kyle Pitts Sr.,ATL,5
TE,12,Dallas Goedert,PHI,3
TE,13,Evan Engram,DEN,3
TE,14,Zach Ertz,WAS,3
TE,15,Dalton Kincaid,BUF,3
TE,16,Jake Ferguson,DALDTD,3
TE,17,Hunter Henry,NE,2
TE,18,Colston Loveland,CHI,1
TE,19,Isaiah Likely,BALPUP,1
TE,20,Cade Otton,TB,0
TE,21,Brenton Strange,JAC,0
TE,22,Jonnu Smith,PIT,0
TE,23,Darren Waller,MIA,0
TE,24,Mike Gesicki,CIN,0
TE,25,Dalton Schultz,HOU,0
TE,26,Chig Okonkwo,TEN,0
TE,27,Juwan Johnson,NO,0
TE,28,Pat Freiermuth,PIT,0
TE,29,Tyler Higbee,LAR,0
TE,30,Robbie Ouzts,SEA,0
TE,31,Mason Taylor,NYJ,0
TE,32,Theo Johnson,NYG,0
TE,33,Elijah Arroyo,SEA,0
TE,34,Will Dissly,LAC,0
TE,35,Noah Fant,CIN,0
TE,36,Ja'Tavion Sanders,CAR,0
K,1,Brandon Aubrey,DAL,1
K,2,Matt Gay,WAS,1
K,3,Chase McLaughlin,TB,1
K,4,Jake Elliott,PHI,1
K,5,Jason Sanders,MIA,1
K,6,Tyler Bass,BUFDTD,1
K,7,Cameron Dicker,LAC,1
K,8,Tyler Loop,BAL,1
K,9,Evan McPherson,CIN,1
K,10,Jake Bates,DET,1
K,11,Ka'imi Fairbairn,HOU,1
K,12,Harrison Butker,KC,1
K,13,Brandon McManus,GB,0
K,14,Younghoe Koo,ATL,0
K,15,Chris Boswell,PIT,0
K,16,Wil Lutz,DEN,0
K,17,Joshua Karty,LAR,0
K,18,Will Reichard,MIN,0
K,19,Jake Moody,SF,0
K,20,Chad Ryland,ARI,0
K,21,Spencer Shrader,IND,0
K,22,Daniel Carlson,LV,0
K,23,Cam Little,JAC,0
K,24,Jason Myers,SEA,0
K,25,Cairo Santos,CHI,0
K,26,Ryan Fitzgerald,CAR,0
K,27,Nick Folk,NYJ,0
K,28,Blake Grupe,NO,0
